,irace_1,irace_2,irace_3,irace_4,default,Min_Col
0,22.406943478740345,12.694903222447062,120.53933873432744,22.46700703956645,16.663976178792545,irace_2
1,81.59889814894407,87.15707744047656,175.4758739794664,82.10769053697973,98.4098416667178,irace_1
2,1.0187110853622734,0.7046267623795239,1.0147514544875398,1.014849829181486,0.7388168470871084,irace_2
3,2271.008260648232,2531.3836295565816,116472.88015458992,2267.2261651203225,1856.316343496668,default
4,5.374355190033626,4.597474614326515,9.577376071947784,5.381780648144691,5.210568894329786,irace_2
5,137.26114985990154,143.1032208258859,173.97608325922616,137.425868743146,113.26042571460846,default
6,1.0,0.918328396854141,1.0,1.0,1.0,irace_2
7,1180.3012515265714,151.3675845396685,1528.561869969877,1186.70192779328,420.8690661280356,irace_2
8,10000.0,2970.0838127957445,10000.0,10000.0,6633.426485552479,irace_2
9,12.406967615901037,7.090103401851519,59.268791293805705,12.441775854961524,9.93318618649334,irace_2
10,0.0169270276783408,0.4431332238496788,0.7183312698462174,0.0581765176665235,0.0506119856513803,irace_1
11,0.0183156388887341,1.0,1.0,0.1353352832366127,0.1353352832366127,irace_1
12,6687534.685521223,7069856.221452436,59109646.73797491,6689044.95569066,9146241.292914756,irace_1
13,11542104.80533841,7016052.129136636,58439872.94261471,11551561.346229902,9044047.856442949,irace_2
14,28308.2088736454,364258.9378038253,2269821.686011198,28009.23507142547,97374.02220743324,irace_4
15,2845105.03060232,370710.4520266508,335099.60729401815,2803223.353381985,233294.4218966804,default
16,22026.46579480672,162754.79141900392,1202604.2841647768,22026.46579480672,59874.14171519782,irace_1
17,2657130.347614021,51.97387251784962,57383.36027349242,2610625.4146288,149953.72403004544,irace_2
18,8273393.615647721,7696802.41121595,276153669.0497433,8265465.149292631,9317024.30167936,irace_2
19,1.7316788453398182,1.0981004418162852,1.0,1.7208021497047052,0.4382857344769863,default
20,1.0,0.918328396854141,1.0,1.0,1.0,irace_2
21,1.0,0.5779462434419343,1.0,1.0,1.0,irace_2
22,22.34043666690072,11.505608199157065,120.20557777124276,22.359173352906883,17.726517553496244,irace_2
23,105.41069977629049,78.75947045070913,140.2901732238796,106.06655163715897,84.6625290558415,irace_2
24,0.8417664724377694,0.8123275253491535,1.03280211261787,0.8411366709759582,0.6740303780305209,default
25,3030.3273453238107,1827.86131573792,75979.0315921506,3045.2120225952026,1560.9667182951218,default
26,5.758539514552755,4.559564472263837,9.218765980149268,5.742213418241352,5.045198828074213,irace_2
27,162.46628658565345,146.63563542383343,230.27829400598657,164.4477788589778,143.11381036982704,default
28,1.0,1.0,1.0,1.0,1.0,irace_1
29,567.1510329878034,105.58839740997098,2435.334290044518,565.0235165624207,210.38775687430652,irace_2
30,10000.0,138.36907843821442,10000.0,10000.0,7636.770917478063,irace_2
31,12.406967615901037,7.090103401851519,59.26879129380569,12.441775854961527,9.933186186493336,irace_2
32,0.0333802471086266,1.821022596361108,0.7543240014405508,0.0245538240167597,0.0275323304646695,irace_4
33,0.0497870683678639,1.0,1.0,0.0497870683678639,0.0497870683678639,irace_1
34,12106738.126104811,5523326.581759291,59189225.73633405,12123648.2940042,6244468.26963993,irace_2
35,11185948.535499526,5637648.559878514,56629822.61285604,11193499.795229131,6403384.477287522,irace_2
36,638923.3709071008,718419.911417639,5168851.067338558,618274.0036668362,525408.9554029701,default
37,554972.1479791399,1532475.394231861,302110.1347488639,549606.5474647458,273217.7467347641,default
38,442413.3920089205,442413.3920089205,3269017.3724721107,442413.3920089205,442413.3920089205,irace_1
39,158166.89897414244,772908.0805595537,79624.82626292792,151817.9079042248,44278.512237405455,default
40,12547915.608195951,5453110.20771039,119320643.58058748,12543732.69532966,6114987.194751893,irace_2
41,1.0,1.5947786919659663,1.279019744068443,1.0,1.0,irace_1
42,1.0,1.0,1.0,1.0,1.0,irace_1
43,1.0,1.0,1.0,1.0,1.0,irace_1
44,79.99327069465483,63.321415610705245,2943.152130950002,80.4793070200586,135.6506381302699,irace_2
45,468.335395401798,490.3175558467394,1887.7306539270608,466.579574018451,501.786882154811,irace_4
46,0.9100299935942424,0.8924855470446605,1.3530569370692145,0.9091450505668914,0.9865248064755304,irace_2
47,13709.177745132378,9062.848351776996,10093698.419443624,13833.537165939206,33726.68842725858,irace_2
48,5.165822080042766,4.9342504863351735,14.759100516938794,5.177157146499308,5.841037690365955,irace_2
49,760.9866945319638,748.0956437925918,1969.449179937597,768.0383716782969,869.0969361964981,irace_2
50,1.0,1.0,1.0,1.0,0.1984653977683022,default
51,5721.745304423825,1942.211688104356,42884.8629051183,5725.948181797161,5356.525325574829,irace_2
52,10000.0,10000.0,10000.0,10000.0,10000.0,irace_1
53,46.74823924521799,38.65236133285765,1412.2277483006235,46.97411716043871,72.25438413052306,irace_2
54,3.702131732825619,0.2554663844688751,4.761864925671038,3.546605365574174,0.3381061258771134,irace_2
55,2.718281828459045,0.3678794411714423,2.718281828459045,2.718281828459045,0.3678794411714423,irace_2
56,43920217.6440778,37492369.80362107,1371193449.1885028,44129139.88183565,72252232.59608321,irace_2
57,46555515.59671838,37763426.89493384,1332189797.9359753,46776468.28619163,69943990.68264006,irace_2
58,1184651.858293221,1447887.7868962346,75372196.91346964,1184595.6981719756,2601887.0882264106,irace_4
59,3510165.679487862,3901899.610387222,40237051.81610198,3500686.5017421143,5298306.477704172,irace_4
60,442413.3920089205,1202604.2841647768,65659969.13733051,442413.3920089205,1202604.2841647768,irace_1
61,831681.2334191169,512123.3064911503,1417082.7490473022,801901.8977954331,2223.7888239756194,default
62,45230727.15178981,39606479.73222526,15966954623.68632,45415881.091500014,84316631.46409209,irace_2
63,1.2745609411844816,1.0,1.6011433344122654,1.255915858268713,0.0977488298615313,default
64,1.0,1.0,1.0,1.0,0.1984653977683022,default
65,1.0,1.0,1.0,1.0,0.1984653977683022,default
66,82.23711011120957,66.81337827820803,2943.632684905784,82.67938595585717,134.06704671227007,irace_2
67,455.6138309491286,494.455875455265,1954.1934298237927,460.8073562497399,498.3107451319515,irace_1
68,0.674246225024262,0.9754203874949068,1.353056937075156,0.6777280540362547,0.8926593364553316,irace_1
69,18681.38341072502,10160.718311850216,8184592.48029254,18761.063193474045,31212.033308684324,irace_2
70,5.265233140770572,4.911248038930815,14.889820399379095,5.271146668647049,5.83300530161717,irace_2
71,838.9725578121306,753.8480715704122,1941.9535973915345,839.7951941510512,818.6888239824301,irace_2
72,1.0,1.0,1.0,1.0,1.0,irace_1
73,2238.6576781815893,6775.3662600146445,53335.87342925093,2241.007713667591,4541.96343954051,irace_1
74,10000.0,10000.0,10000.0,10000.0,10000.0,irace_1
75,46.748239245218,38.652361332857645,1412.2277483006235,46.9741171604387,72.25438413052308,irace_2
76,0.7010648798477197,4.470306319780048,3.372964690393399,0.6894707160490461,0.6454530171975785,default
77,1.0,2.718281828459045,2.718281828459045,1.0,1.0,irace_1
78,46737810.00385826,36162660.03103379,1347810537.4233787,46964966.56426059,70980643.88552563,irace_2
79,46628798.23217119,38117718.06859957,1354904761.6218307,46858224.67114434,70775570.87464127,irace_2
80,3139582.258552938,2978260.0691071358,61918202.57738741,3144327.585048008,6208604.944746832,irace_2
81,1011692.2967243496,3654601.310768628,69286035.19511446,1033887.099280428,1364168.6255679938,irace_1
82,1202604.2841647768,1202604.2841647768,24154952.7535753,1202604.2841647768,3269017.3724721107,irace_1
83,5205.691054641259,1500700.9878620391,183528.29353823917,4210.598454990104,2043.171843115614,default
84,58040951.00482491,43666140.40173344,8385064131.957108,58353234.154835925,88716405.39657582,irace_2
85,0.8309759352100934,1.6962754126903663,5.832332159614971,0.8466949952251566,0.1880131041278606,default
86,1.0,1.0,1.0,1.0,1.0,irace_1
87,1.0,1.0,1.0,1.0,1.0,irace_1
88,13.608014182280098,12.694903222447062,120.53933873432744,13.378015966803629,9.96184176356254,default
89,81.59889814894407,62.74785013224445,175.4758739794664,82.10769053697973,73.01684737075692,irace_2
90,1.0187110853622734,0.6585227352535672,1.0147514544875398,1.014849829181486,0.3034125252712021,default
91,1334.53631614113,2479.0593338033123,116472.88015458992,1293.1744497341765,1508.172326042533,irace_4
92,5.354567106590665,4.597474614326515,9.577376071947784,5.335947988939324,4.611190447117085,irace_2
93,130.56164252761064,134.34649190265398,173.97608325922616,130.23037917589346,113.26042571460846,default
94,1.0,0.918328396854141,1.0,1.0,0.8619159933822492,default
95,930.6998284069398,151.3675845396685,1528.561869969877,919.8262351753016,129.9304837334177,default
96,1493.8182691281947,749.9948249755611,10000.0,1402.9400138177111,2860.0183178757,irace_2
97,8.27187884959604,7.0120066083732135,59.268791293805705,8.158206771522067,6.164617793116996,default
98,0.0169270276783408,0.0087750535150396,0.7183312698462174,0.0581765176665235,0.0506119856513803,irace_2
99,0.0183156388887341,0.0183156388887341,1.0,0.1353352832366127,0.1353352832366127,irace_1
100,4997433.533900298,6940703.957047544,59109646.73797491,4917376.540059689,7182237.068284786,irace_4
101,7942804.362180648,6913735.162988325,58439872.94261471,7825018.913798417,3566460.83981784,default
102,28308.2088736454,364258.9378038253,1861584.6942676385,28009.23507142547,97374.02220743324,irace_4
103,2845105.03060232,256181.3354998978,335099.60729401815,2803223.353381985,22433.61931474903,default
104,22026.46579480672,162754.79141900392,1202604.2841647768,22026.46579480672,59874.14171519782,irace_1
105,2657130.347614021,51.97387251784962,57383.36027349242,2610625.4146288,1240.6687980828972,irace_2
106,5253973.72649163,7696802.41121595,276153669.0497433,5148804.471541359,8681589.921408586,irace_4
107,1.7202445977143943,1.0981004418162852,1.0,1.708546048544,0.4382857344769863,default
108,1.0,0.918328396854141,1.0,1.0,0.8619159933822492,default
109,1.0,0.5779462434419343,1.0,1.0,1.0,irace_2
110,13.837763006911077,11.505608199157065,120.20557777124276,13.626490903831904,11.184217259102466,default
111,93.0482959979677,53.11111500732896,140.2901732238796,91.51656120542742,80.35769056278926,irace_2
112,0.7653837338748428,0.8123275253491535,0.9196217832347532,0.7614211663753733,0.5703650244846326,default
113,2205.109485810949,1827.86131573792,75979.0315921506,2180.615674272185,1560.9667182951218,default
114,4.895177084662343,4.338129708113058,9.218765980149268,4.892128347915289,4.45576916379143,irace_2
115,141.22305443335398,130.74299060752074,230.27829400598657,141.71452810377713,143.11381036982704,irace_2
116,1.0,1.0,1.0,1.0,1.0,irace_1
117,517.8227987001743,105.58839740997098,2050.363684269258,532.4729223521192,109.91817224586325,irace_2
118,8715.089721090224,138.36907843821442,10000.0,7741.422923142356,44.74571436421415,default
119,8.271878849596042,7.012006608373215,59.26879129380569,8.15820677152207,7.801039533018077,irace_2
120,0.0333802471086266,1.3946318546901952,0.7543240014405508,0.0245538240167597,0.0275323304646695,irace_4
121,0.0497870683678639,1.0,1.0,0.0497870683678639,0.0497870683678639,irace_1
122,8192034.237052575,5173197.980123775,59189225.73633405,8084610.336352868,3846507.108263455,default
123,7647669.132622771,5637648.559878514,56629822.61285604,7553568.370210865,5366612.292738194,default
124,531190.4405626396,403457.05712432566,5168851.067338558,513937.4486025573,269564.7871638506,default
125,389905.09229832527,1532475.394231861,264397.41469592106,379869.69964561815,164706.07564704304,default
126,442413.3920089205,162754.79141900392,3269017.3724721107,442413.3920089205,162754.79141900392,irace_2
127,47773.51017582991,772908.0805595537,17740.230825455605,42231.558030452405,81.80223860583635,default
128,8561744.820601873,5066785.095345403,119320643.58058748,8450420.175350467,4050375.75419296,default
129,1.0,1.5947786919659663,1.279019744068443,1.0,0.5848298627275798,default
130,1.0,1.0,1.0,1.0,1.0,irace_1
131,1.0,1.0,1.0,1.0,1.0,irace_1
132,79.99327069465483,61.633441461757386,2943.152130950002,80.4793070200586,135.6506381302699,irace_2
133,468.335395401798,436.9557103881537,1887.7306539270608,466.579574018451,501.786882154811,irace_2
134,0.8974436424982379,0.8777062976962062,1.3530569370692145,0.8987772851649212,0.9589522866365594,irace_2
135,13709.177745132378,8557.304068176698,10093698.419443624,13833.537165939206,33726.68842725858,irace_2
136,5.165822080042766,4.851477265603986,14.759100516938794,5.177157146499308,5.841037690365955,irace_2
137,727.3842692254275,724.4690091296587,1969.449179937597,727.6608769514258,869.0969361964981,irace_2
138,1.0,1.0,1.0,1.0,0.1984653977683022,default
139,5161.961691891482,1942.211688104356,42884.8629051183,5195.566813350533,4857.116719621979,irace_2
140,10000.0,10000.0,10000.0,10000.0,10000.0,irace_1
141,46.74823924521799,37.89516671277925,1412.2277483006235,46.97411716043871,72.25438413052306,irace_2
142,3.702131732825619,0.2554663844688751,4.471614392433621,3.546605365574174,0.3381061258771134,irace_2
143,2.718281828459045,0.3678794411714423,2.718281828459045,2.718281828459045,0.3678794411714423,irace_2
144,43920217.6440778,36803224.184032224,1371193449.1885028,44129139.88183565,72252232.59608321,irace_2
145,46555515.59671838,36369209.62909922,1332189797.9359753,46776468.28619163,69943990.68264006,irace_2
146,1184651.858293221,1365420.853268255,75372196.91346964,1184595.6981719756,2601887.0882264106,irace_4
147,2973871.1848339867,3339885.5867555216,17758055.205007944,2977337.0139916623,3739447.6229045214,irace_1
148,442413.3920089205,1202604.2841647768,65659969.13733051,442413.3920089205,1202604.2841647768,irace_1
149,103204.61421088855,69450.53733884598,663380.6469567084,83105.56399375625,2223.7888239756194,default
150,45230727.15178981,36704698.9753869,15966954623.68632,45415881.091500014,84316631.46409209,irace_2
151,1.2745609411844816,1.0,1.0013850394038666,1.255915858268713,0.0977488298615313,default
152,1.0,1.0,1.0,1.0,0.1984653977683022,default
153,1.0,1.0,1.0,1.0,0.1984653977683022,default
154,82.23711011120957,66.06109243772589,2943.632684905784,82.67938595585717,134.06704671227007,irace_2
155,455.6138309491286,461.9669423534216,1954.1934298237927,460.8073562497399,498.3107451319515,irace_1
156,0.674246225024262,0.9754203874949068,1.353056937075156,0.6777280540362547,0.8926593364553316,irace_1
157,18681.38341072502,10160.718311850216,8184592.48029254,18761.063193474045,31212.033308684324,irace_2
158,5.244354003532642,4.851826209818544,14.889820399379095,5.254588817520627,5.83300530161717,irace_2
159,782.0005449719365,707.9162047528337,1941.9535973915345,779.7339138493423,807.6784526170254,irace_2
160,1.0,1.0,1.0,1.0,1.0,irace_1
161,2045.3976482593607,6261.065535926085,53335.87342925093,2038.0207455996376,2469.2158397559087,irace_4
162,10000.0,10000.0,10000.0,10000.0,10000.0,irace_1
163,46.748239245218,37.89516671277924,1412.2277483006235,46.9741171604387,72.25438413052308,irace_2
164,0.7010648798477197,4.470306319780048,3.346840817081924,0.6894707160490461,0.6454530171975785,default
165,1.0,2.718281828459045,2.718281828459045,1.0,1.0,irace_1
166,46737810.00385826,35057962.115963645,1347810537.4233787,46964966.56426059,70980643.88552563,irace_2
167,46628798.23217119,37189534.86339446,1354904761.6218307,46858224.67114434,70775570.87464127,irace_2
168,3139582.258552938,2374059.536860597,51990348.11978237,3144327.585048008,6208604.944746832,irace_2
169,863415.6010255491,3654601.310768628,66795253.83542943,872251.0805374767,1364168.6255679938,irace_1
170,1202604.2841647768,1202604.2841647768,24154952.7535753,1202604.2841647768,3269017.3724721107,irace_1
171,5205.691054641259,1406165.2415252568,12176.86074289745,4210.598454990104,2043.171843115614,default
172,58040951.00482491,43666140.40173344,8385064131.957108,58353234.154835925,88716405.39657582,irace_2
173,0.610538602199638,1.6962754126903663,2.0609450078355884,0.6177521384576474,0.1880131041278606,default
174,1.0,1.0,1.0,1.0,1.0,irace_1
175,1.0,1.0,1.0,1.0,1.0,irace_1
176,13.608014182280098,10.030034912473983,120.53933873432744,13.378015966803629,3.956268081215384,default
177,74.5310497118108,62.74785013224445,175.4758739794664,75.66459512744017,72.96152360183525,irace_2
178,1.0187110853622734,0.5555113650024188,1.0147514544875398,1.014849829181486,0.3034125252712021,default
179,1334.53631614113,917.032635966486,116472.88015458992,1293.1744497341765,1243.1802244358248,irace_2
180,5.354567106590665,4.5217318175577965,9.577376071947784,5.335947988939324,4.611190447117032,irace_2
181,130.56164252761064,133.2074651376424,173.97608325922616,130.23037917589346,85.91613156912479,default
182,1.0,0.7497550741046123,1.0,1.0,0.861915993382283,irace_2
183,930.6998284069398,143.30938885333478,1528.561869969877,919.8262351753016,90.03255341801113,default
184,1493.8182691281947,182.5223852085601,10000.0,1402.9400138177111,220.53985976150307,irace_2
185,8.27187884959604,4.994255599290409,59.268791293805705,8.158206771522067,3.3505033901000263,default
186,0.0169270276783408,0.0087750535150396,0.7183312698462174,0.0581765176665235,0.0506119856513803,irace_2
187,0.0183156388887341,0.0183156388887341,1.0,0.1353352832366127,0.0024787521766663,default
188,4997433.533900298,4216896.240603308,59109646.73797491,4917376.540059689,5989750.12862181,irace_2
189,7942804.362180648,4779756.890127565,58439872.94261471,7825018.913798417,2044908.1133526573,default
190,28308.2088736454,289038.0023368316,1861584.6942676385,28009.23507142547,95610.43564948236,irace_4
191,2845105.03060232,222872.42017626303,335099.60729401815,2803223.353381985,22433.61931474903,default
192,22026.46579480672,162754.79141900392,1202604.2841647768,22026.46579480672,59874.14171519782,irace_1
193,2657130.347614021,51.97387251784962,57383.36027349242,2610625.4146288,12.911536489295925,default
194,5253973.72649163,5342099.230664554,276153669.0497433,5148804.471541359,3939444.500476414,default
195,1.7202445977143943,0.9423153323551,1.0,1.708546048544,0.4382857344769863,default
196,1.0,0.7497550741046123,1.0,1.0,0.8619159933822492,irace_2
197,1.0,0.5779462434419343,1.0,1.0,1.0,irace_2
198,13.837763006911077,5.128468791173907,120.20557777124276,13.626490903831904,4.3229264262566005,default
199,93.0482959979677,48.524924549430814,140.2901732238796,91.51656120542742,68.23516412289705,irace_2
200,0.7653837338748428,0.650969284306137,0.9196217832347532,0.7614211663753733,0.5036958407625185,default
201,2205.109485810949,1132.3224622789303,75979.0315921506,2180.615674272185,731.816849564977,default
202,4.895177084662343,4.032227660528932,9.218765980149268,4.892128347915289,4.45576916379143,irace_2
203,127.7283998604136,130.74299060752074,230.27829400598657,128.5305369104418,143.11381036982704,irace_1
204,1.0,1.0,1.0,1.0,1.0,irace_1
205,517.8227987001743,88.23988049617921,2050.363684269258,532.4729223521192,109.91817224586325,irace_2
206,8715.089721090224,20.05955836026282,10000.0,7741.422923142356,10.27237882375674,default
207,8.271878849596042,6.02034067062049,59.26879129380569,8.15820677152207,3.1029203234324094,default
208,0.0333802471086266,0.5962962742527484,0.7543240014405508,0.0245538240167597,0.0275323304646695,irace_4
209,0.0497870683678639,1.0,1.0,0.0497870683678639,0.0497870683678639,irace_1
210,8192034.237052575,3890363.976898184,59189225.73633405,8084610.336352868,2812009.636003222,default
211,7647669.132622771,4676283.065289338,56629822.61285604,7553568.370210865,4511503.394033221,default
212,531190.4405626396,117105.43716040548,5168851.067338558,513937.4486025573,31302.49903284344,default
213,389905.09229832527,800876.5770391729,264397.41469592106,379869.69964561815,83438.93119561086,default
214,442413.3920089205,59874.14171519782,3269017.3724721107,442413.3920089205,59874.14171519782,irace_2
215,47773.51017582991,121961.25783076268,17740.230825455605,42231.558030452405,13.964481022024948,default
216,8561744.820601873,1993843.4972953824,119320643.58058748,8450420.175350467,2000458.742273908,irace_2
217,1.0,1.077534632635086,1.279019744068443,1.0,0.5848298627275798,default
218,1.0,1.0,1.0,1.0,1.0,irace_1
219,1.0,1.0,1.0,1.0,0.2559109059054946,default
220,69.63599611179704,61.633441461757386,2835.5178313565007,69.91935003639618,135.6506381302699,irace_2
221,468.335395401798,436.9557103881537,1887.7306539270608,466.579574018451,485.2972431302789,irace_2
222,0.840961767314034,0.8542149396819533,1.3403604122708688,0.8386481830744209,0.9589522866365594,irace_4
223,10513.0419063309,8557.304068176698,10093698.419443624,10616.776240299298,26350.93472167061,irace_2
224,4.910108255271172,4.851477265603986,14.752156499274404,4.904700516093019,5.779994650742232,irace_2
225,684.6678104254104,721.0904784846125,1969.449179937597,683.8550734953257,705.1630063590499,irace_4
226,1.0,1.0,1.0,1.0,0.1984653977683022,default
227,5099.755264017358,1836.5610315438084,32337.068408899657,5065.194272079805,2337.08448803228,irace_2
228,10000.0,10000.0,10000.0,10000.0,10000.0,irace_1
229,41.46387180119928,37.89516671277925,1361.4416490782044,41.56751217638501,60.775865053171096,irace_2
230,2.867830104997547,0.2554663844688751,4.471614392433621,2.688989117455073,0.3381061258771134,irace_2
231,2.718281828459045,0.3678794411714423,2.718281828459045,1.0,0.3678794411714423,irace_2
232,39493927.367904834,36803224.184032224,1212135424.671636,39605247.32482763,65932138.34052676,irace_2
233,41450763.20471792,36369209.62909922,1332189797.9359753,41555191.5124543,61884964.582437,irace_2
234,876189.6057915394,1365420.853268255,63902704.21113151,889648.3316861205,2040965.9885848907,irace_1
235,2363426.129134261,2871353.111639067,17758055.205007944,2329497.666282017,2219455.05751401,default
236,442413.3920089205,1202604.2841647768,24154952.7535753,442413.3920089205,1202604.2841647768,irace_1
237,103204.61421088855,69450.53733884598,9755.872458100665,83105.56399375625,2223.7888239756194,default
238,43478400.76879222,36704698.9753869,15966954623.68632,43673997.33199307,84316631.46409209,irace_2
239,1.070653930926978,1.0,1.0013850394038666,1.0586205710247396,0.0977488298615313,default
240,1.0,1.0,1.0,1.0,0.1984653977683022,default
241,1.0,1.0,1.0,1.0,0.1984653977683022,default
242,71.73900875715414,66.06109243772589,2835.249307175299,71.88514522783281,108.94051299652646,irace_2
243,455.6138309491286,461.9669423534216,1928.8061263736167,459.6316401380744,498.3107451319515,irace_1
244,0.674246225024262,0.8578630052342384,1.340360412274748,0.6777280540362547,0.8926593364553316,irace_1
245,16305.527590718728,10160.718311850216,8184592.48029254,16345.574516946785,25451.396972116883,irace_2
246,5.011961920481479,4.851826209818544,14.800815105991068,5.005873785212053,5.83300530161717,irace_2
247,782.0005449719365,707.9162047528337,1898.455532913293,779.7339138493423,726.7344690535394,irace_2
248,1.0,1.0,1.0,1.0,1.0,irace_1
249,1387.0161888261057,6261.065535926085,53335.87342925093,1396.0437598852873,2139.8039295865683,irace_1
250,10000.0,10000.0,10000.0,10000.0,10000.0,irace_1
251,41.46387180119927,37.89516671277924,1361.4416490782048,41.567512176385016,66.4180237553971,irace_2
252,0.0428289086325286,2.740617735087985,0.7569217362533096,0.0079715348129807,0.0474958181253153,irace_4
253,0.0497870683678639,2.718281828459045,1.0,0.0183156388887341,0.0183156388887341,irace_4
254,40981063.30234496,35057962.115963645,1347810537.4233787,41070567.631184034,53813994.50556964,irace_2
255,40699693.76395255,37189534.86339446,1354904761.6218307,40786460.679044046,54030159.53300254,irace_2
256,2299134.028173944,2374059.536860597,44977855.40053232,2270164.324842651,2328668.964394246,irace_4
257,618704.7010309625,2791635.7615229087,64604435.89955739,627596.0258881939,1364168.6255679938,irace_1
258,1202604.2841647768,1202604.2841647768,24154952.7535753,1202604.2841647768,3269017.3724721107,irace_1
259,5205.691054641259,478675.3384411351,12176.86074289745,4210.598454990104,2043.171843115614,default
260,44893112.707854114,43666140.40173344,8385064131.957108,44939475.263126,66863417.34091919,irace_2
261,0.5463342246565385,1.5470523113469783,2.0609450078355884,0.5547345566848311,0.1880131041278606,default
262,1.0,1.0,1.0,1.0,1.0,irace_1
263,1.0,1.0,1.0,1.0,1.0,irace_1
